OBJECTID,STOP_ID,LAST_UPDATE_DATE,GeometryEasting,GeometryNorthing
1,101101,2022-10-24,820967,807784
2,101102,2022-10-24,834465,816528
3,101103,2022-10-24,824671,823755
4,101104,2022-10-24,834174,816597
5,101105,2022-10-24,829455,825286
6,101107,2022-10-24,818260,814037
7,101108,2023-01-03,834555,816486
8,101109,2022-10-24,821868,816190
9,101110,2022-11-14,838637,817212
10,101111,2022-10-24,837647,818020
11,101112,2022-10-24,838061,819875
12,101113,2022-10-24,814559,825893
13,101114,2022-10-24,811901,817269
14,101115,2022-10-24,818062,811224
15,101117,2022-12-28,808150,817230
16,101118,2022-10-24,836205,816018
17,101119,2022-10-24,835419,817205
18,101120,2023-01-03,803673,812659
19,101122,2022-10-24,829366,810876
20,101123,2022-10-24,829256,809738
21,101124,2022-10-24,831528,807449
22,101125,2023-01-03,833764,812067
23,101126,2022-10-24,834369,816558
24,101127,2022-10-24,819871,817559
25,101128,2023-01-03,820286,817134
26,101129,2022-10-24,853257,835771
27,101130,2022-10-24,852768,832900
28,101131,2022-10-24,854147,831448
29,101132,2022-10-24,862663,845058
30,101133,2023-01-03,840134,830871
31,101134,2023-01-03,854974,836776
32,101136,2022-10-24,847025,833489
33,101137,2022-10-24,848933,835279
34,101320,2022-10-24,840859,818581
35,101321,2022-10-24,841136,816391
36,101322,2023-01-03,842410,816876
37,101323,2022-10-24,833040,807846
38,101324,2022-10-24,820896,813248
39,101326,2022-10-24,844125,802765
40,101329,2022-10-24,820086,806968
41,101331,2022-10-24,833933,811778
42,101332,2022-10-24,834067,811989
43,101333,2022-10-24,833544,812109
44,101336,2022-10-24,839698,808749
45,101337,2022-10-24,834270,816572
46,101339,2022-10-24,834647,816450
47,101340,2022-10-24,820414,815909
48,101342,2022-10-24,847907,845600
49,101343,2022-10-24,841327,844856
50,101348,2022-10-24,831548,807525
51,101349,2022-11-14,838740,817253
52,101350,2022-10-24,818248,813969
53,101351,2022-10-24,841248,816198
54,101352,2022-10-24,847795,812894
55,101354,2022-10-24,845142,843329
56,101355,2022-12-07,839992,818979
57,101356,2023-01-03,821928,816145
58,101357,2022-10-24,837552,817931
59,101358,2022-10-24,834742,816417
60,80000006,2022-10-24,846429,826910
61,80000007,2022-10-24,855212,821602
62,80000009,2022-10-24,840164,830651
63,80000010,2022-10-24,840721,818845
64,80000011,2022-10-24,840847,830197
65,80000012,2022-10-24,842024,836808
66,80000013,2022-10-24,855169,835459
67,80000014,2023-01-03,820960,807716
